,B02,B03,B08,B11,Clase
526,1274.0,1371.0,1334.0,1082.0,agua
527,1282.0,1375.0,1334.0,1077.0,agua
528,1272.0,1360.0,1332.0,1072.0,agua
529,1261.0,1358.0,1324.0,1068.0,agua
530,1286.0,1379.0,1348.0,1088.0,agua
531,1276.0,1359.0,1338.0,1086.0,agua
532,1274.0,1363.0,1334.0,1084.0,agua
533,1288.0,1371.0,1334.0,1083.0,agua
534,1266.0,1381.0,1332.0,1082.0,agua
535,1283.0,1381.0,1336.0,1083.0,agua
536,1279.0,1378.0,1340.0,1085.0,agua
537,1285.0,1368.0,1340.0,1086.0,agua
538,1296.0,1370.0,1334.0,1083.0,agua
539,1264.0,1371.0,1336.0,1079.0,agua
540,1281.0,1366.0,1335.0,1076.0,agua
541,1264.0,1351.0,1330.0,1074.0,agua
542,1257.0,1363.0,1324.0,1071.0,agua
543,1280.0,1374.0,1354.0,1089.0,agua
544,1277.0,1370.0,1348.0,1087.0,agua
545,1276.0,1364.0,1336.0,1084.0,agua
546,1271.0,1366.0,1335.0,1083.0,agua
547,1271.0,1366.0,1335.0,1082.0,agua
548,1286.0,1363.0,1333.0,1081.0,agua
549,1283.0,1375.0,1338.0,1081.0,agua
550,1283.0,1374.0,1338.0,1084.0,agua
551,1276.0,1376.0,1338.0,1085.0,agua
552,1283.0,1381.0,1338.0,1081.0,agua
553,1304.0,1367.0,1335.0,1076.0,agua
554,1285.0,1356.0,1336.0,1076.0,agua
