Wavelength (nm),Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Reflectance_spct
665,0.0,0.0,0.0,0.955641,0.0,0.0,0.0,0.858244,0.0,0.125573396682739
666,0.0,0.0,0.0,0.959441,0.0,0.0,0.0,0.858532,0.0,0.125948220491409
667,0.0,0.0,0.0,0.973636,0.0,0.0,0.0,0.85964,0.0,0.126326471567154
668,0.0,0.0,0.0,0.982911,0.0,0.0,0.0,0.862705,0.0,0.126698017120361
669,0.0,0.0,0.0,0.983434,0.0,0.0,0.0,0.861668,0.0,0.127075597643852
670,0.0,0.0,0.0,0.983613,0.0,0.0,0.0,0.848975,0.0,0.127441272139549
671,0.0,0.0,0.0,0.984173,0.0,0.0,0.0,0.837994,0.0,0.127812281250954
672,0.0,0.0,0.0,0.975075,0.0,0.0,0.0,0.831881,0.0,0.128197640180588
673,0.0,0.0,0.0,0.962705,0.0,0.0,0.0,0.816555,0.0,0.128562867641449
674,0.0,0.0,0.0,0.951831,0.0,0.0,0.0,0.776009,0.0,0.128918826580048
675,0.0,0.0,0.0,0.947418,0.0,0.0,0.0,0.714816,0.0,0.12927271425724
676,0.0,0.0,0.0,0.950823,0.0,0.0,0.0,0.598302,0.0,0.129633620381355
677,0.0,0.0,0.0,0.947949,0.0,0.0,0.0,0.472496,0.0,0.1300118714571
678,0.0,0.0,0.0,0.905473,0.0,0.0,0.0,0.323232,0.0,0.130408376455307
679,0.0,0.0,0.0,0.764443,0.0,0.0,0.0,0.196006,0.0,0.130789116024971
680,0.0,0.0,0.0,0.526812,0.0,0.0,0.0,0.124269,0.0,0.131166473031044
681,0.0,0.0,0.0,0.299778,0.0,0.0,0.0,0.066556,0.0,0.131539449095726
682,0.0,0.0,0.0,0.148518,0.0,0.0,0.0,0.042723,0.0,0.131915032863617
683,0.0,0.0,0.0,0.066861,0.0,0.0,0.0,0.02327,0.0,0.132308334112167
684,0.0,0.0,0.0,0.030432,0.0,0.0,0.0,0.015515,0.0,0.132700622081757
685,0.0,0.0,0.0,0.014515,0.0,0.0,0.0,0.009003,0.0,0.133085697889328
686,0.0,0.0,0.0,0.007197,0.0,0.0,0.0,0.006195,0.0,0.133453622460365
687,0.0,0.0,0.0,0.003648,0.0,0.0,0.0,0.003841,0.0,0.133852705359459
688,0.0,0.0,0.0,0.00185,0.0,0.0,0.0,0.002619,0.0,0.134288057684898
689,0.0,0.0,0.0,0.000895,0.0,0.0,0.0,0.001587,0.0,0.134682878851891
690,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.001013,0.0,0.135092839598656
691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000514,0.0,0.135525345802307
692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000216,0.0,0.135953456163406
693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136370271444321
694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136798590421677
695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137255057692528
696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137656688690186
697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138045519590378
698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138452544808388
699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138844653964043
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139244437217712
701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396514326334
702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140047580003738
703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140437796711922
704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140835300087929
705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141238674521446
706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141620397567749
707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142003551125526
708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142387464642525
709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142740547657013
